lambda,mu,c,rho,analytic_wq,sim_wq,analytic_w,sim_w,sim_utilization
0.3,0.5,1,0.6,2.9999999999999996,2.819493104119517,5.0,4.824668888333854,0.5965649598275207
0.3,0.5,2,0.3,0.19780219780219782,0.22443758038889866,2.197802197802198,2.2398543943315126,0.3013298859171323
0.3,0.5,3,0.19999999999999998,0.020547945205479444,0.02814135261544093,2.0205479452054793,2.0422350167400265,0.2035943790218974
0.3,0.5,4,0.15,0.002050658869099609,0.00478052941295194,2.0020506588691,1.9356284546049984,0.14932896781788216
0.3,0.5,5,0.12,0.00018369138033867244,0.0,2.0001836913803386,1.9982138372455143,0.12060327576711387
0.3,0.5,6,0.09999999999999999,1.4634967327435437e-5,0.0,2.0000146349673273,2.000892362930489,0.0980049546419432
0.6,0.5,1,1.2,Inf,NaN,Inf,NaN,NaN
0.6,0.5,2,0.6,1.1249999999999998,1.1698358705641467,3.125,3.1680497078096677,0.602650370499536
0.6,0.5,3,0.39999999999999997,0.15686274509803916,0.13588034485240652,2.156862745098039,2.1367727077828946,0.3917995253545281
0.6,0.5,4,0.3,0.026464101935800063,0.021490123786864986,2.0264641019358,1.989106064155451,0.2923387453796163
0.6,0.5,5,0.24,0.0043231414828108425,0.007345993844510766,2.0043231414828107,2.0013111635191914,0.2386644996708364
0.6,0.5,6,0.19999999999999998,0.000650539707016191,0.0014453501673027927,2.0006505397070162,2.0596116713840367,0.20789673424093866
0.9,0.5,1,1.8,Inf,NaN,Inf,NaN,NaN
0.9,0.5,2,0.9,8.526315789473687,6.262132095954161,10.526315789473687,8.256097265628844,0.8929966980262726
0.9,0.5,3,0.6,0.5912408759124085,0.6278243390422964,2.5912408759124084,2.6859906602590327,0.6242606255067757
0.9,0.5,4,0.45,0.11684876980204631,0.21235335519112664,2.116848769802046,2.172619188710528,0.46211084139101793
0.9,0.5,5,0.36,0.025310677214603877,0.03890317645535607,2.0253106772146037,2.0151525211737438,0.37708319246330346
0.9,0.5,6,0.3,0.005307839452081462,0.003943128801768505,2.0053078394520814,2.0292152700920294,0.30538845501817274
