N,S,repairers,runs,mean_crash_time,std_crash_time,analytic_crash_time,mean_repair_queue,repairer_utilization
5,1,1,20,432.7369042251104,396.99719583588086,439.99999999999903,0.0,0.05005590070656267
5,1,2,20,294.97697106898505,225.54360282534674,439.99999999999903,0.0,0.024918277710613647
5,3,1,20,224341.05069098264,181764.86281395916,177279.99999987095,0.002758076588597335,0.050274345347722016
5,3,2,20,687686.6338621825,791879.3951922525,690079.9999975525,2.9415906070693963e-5,0.025051826036517573
10,1,1,20,147.40032780447333,152.5400632983877,119.99999999999996,0.0,0.0909032483004143
10,1,2,20,121.31423849275384,121.6006342522175,119.99999999999996,0.0,0.055051174992465
10,3,1,20,12747.813352589517,11062.916343182918,12339.99999999653,0.012120523141067895,0.10296395375608518
10,3,2,20,45500.88321456565,54510.255407765326,46539.99999996686,0.00029701361849660544,0.050489877490800875
15,1,1,20,50.8810793842555,56.826246438271255,57.77777777777778,0.0,0.11365455046626445
15,1,2,20,53.5678080872179,44.653320553130065,57.77777777777778,0.0,0.061858456694444654
15,3,1,20,2330.8749828910336,3041.930067970192,2727.9012345680135,0.042439242309104626,0.15962890287614806
15,3,2,20,5986.629704771732,5981.507622377796,9927.901234567202,0.00090585846298209,0.073115526634741
