case,beta,c,gamma,t,S,I,R
baseline,0.05,10.0,0.25,0.0,990,10,0
baseline,0.05,10.0,0.25,0.11085100734229908,989,11,0
baseline,0.05,10.0,0.25,0.24958500520953122,988,12,0
baseline,0.05,10.0,0.25,0.3143924670464918,987,13,0
baseline,0.05,10.0,0.25,0.4187381648895242,987,12,1
baseline,0.05,10.0,0.25,0.45704075115651627,987,11,2
baseline,0.05,10.0,0.25,0.528894877724139,986,12,2
baseline,0.05,10.0,0.25,0.6195024951443067,985,13,2
baseline,0.05,10.0,0.25,0.6577036077891308,984,14,2
baseline,0.05,10.0,0.25,0.807485436446791,983,15,2
baseline,0.05,10.0,0.25,0.9136460307932821,983,14,3
baseline,0.05,10.0,0.25,0.9762345270599148,982,15,3
baseline,0.05,10.0,0.25,0.9968571073125269,981,16,3
baseline,0.05,10.0,0.25,1.0781558006594802,981,15,4
baseline,0.05,10.0,0.25,1.091608486953405,981,14,5
baseline,0.05,10.0,0.25,1.1487009117740068,981,13,6
baseline,0.05,10.0,0.25,1.2770889565236012,980,14,6
baseline,0.05,10.0,0.25,1.3082779501442605,980,13,7
baseline,0.05,10.0,0.25,1.3746513101575535,979,14,7
baseline,0.05,10.0,0.25,1.4492473447385696,978,15,7
baseline,0.05,10.0,0.25,1.5180244863403018,978,14,8
baseline,0.05,10.0,0.25,1.7162183305560266,978,13,9
baseline,0.05,10.0,0.25,1.7179532785218827,977,14,9
baseline,0.05,10.0,0.25,1.7350467048584113,976,15,9
baseline,0.05,10.0,0.25,1.9681345448364567,975,16,9
baseline,0.05,10.0,0.25,2.016509609783214,974,17,9
baseline,0.05,10.0,0.25,2.0377398215928877,973,18,9
baseline,0.05,10.0,0.25,2.0502408951352447,973,17,10
baseline,0.05,10.0,0.25,2.0786758661881533,972,18,10
baseline,0.05,10.0,0.25,2.1169729706622986,971,19,10
baseline,0.05,10.0,0.25,2.117377232252402,970,20,10
baseline,0.05,10.0,0.25,2.165322253953704,969,21,10
baseline,0.05,10.0,0.25,2.187151772751459,968,22,10
baseline,0.05,10.0,0.25,2.247337819249856,967,23,10
baseline,0.05,10.0,0.25,2.2606965813794067,967,22,11
baseline,0.05,10.0,0.25,2.2693768261530973,966,23,11
baseline,0.05,10.0,0.25,2.5255843073284034,966,22,12
baseline,0.05,10.0,0.25,2.556497204978888,965,23,12
baseline,0.05,10.0,0.25,2.5665500293605206,965,22,13
baseline,0.05,10.0,0.25,2.6029722039292813,964,23,13
baseline,0.05,10.0,0.25,2.6323455911805493,963,24,13
baseline,0.05,10.0,0.25,2.686160289236048,963,23,14
baseline,0.05,10.0,0.25,2.7620006601207945,963,22,15
baseline,0.05,10.0,0.25,2.8433336101931554,962,23,15
baseline,0.05,10.0,0.25,2.946417271582479,962,22,16
baseline,0.05,10.0,0.25,2.97737842810254,961,23,16
baseline,0.05,10.0,0.25,3.076983434688252,961,22,17
baseline,0.05,10.0,0.25,3.1495273547823355,960,23,17
baseline,0.05,10.0,0.25,3.156086644699199,959,24,17
baseline,0.05,10.0,0.25,3.1565481199372094,959,23,18
baseline,0.05,10.0,0.25,3.1784672248734314,958,24,18
baseline,0.05,10.0,0.25,3.2163022410500104,957,25,18
baseline,0.05,10.0,0.25,3.259239571741394,957,24,19
baseline,0.05,10.0,0.25,3.2601289039889823,957,23,20
baseline,0.05,10.0,0.25,3.409577938543462,956,24,20
baseline,0.05,10.0,0.25,3.5082477318400995,955,25,20
baseline,0.05,10.0,0.25,3.5908841203766166,954,26,20
baseline,0.05,10.0,0.25,3.634262287591342,953,27,20
baseline,0.05,10.0,0.25,3.6422048982015522,952,28,20
baseline,0.05,10.0,0.25,3.67804491388967,952,27,21
baseline,0.05,10.0,0.25,3.708714511761815,951,28,21
baseline,0.05,10.0,0.25,3.709113220353152,951,27,22
baseline,0.05,10.0,0.25,3.738865581640158,950,28,22
